framework,section_name,cre_id,hub_name,hierarchy_path,hub_description_preview,verdict,notes
OWASP-AIX,AI model performance validation,547-824,AI model performance validation,Development processes for security > Verification > AI security assurance & validation > AI model performance validation,,correct,clean fit.
OWASP-AIX,AI model bias testing,547-824,AI model performance validation,Development processes for security > Verification > AI security assurance & validation > AI model performance validation,,wrong,Fairness and bias testing is not captured by model performance validation; no suitable CRE hub exists for AI bias or fairness testing.
OWASP-AIX,Rate limit,187-083,Rate limiting against AI input attacks,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Rate limiting against AI input attacks,,correct,clean fit.
OWASP-AIX,Model access control,715-644,Access control to AI inference,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Access control to AI inference,,correct,clean fit.
OWASP-AIX,Monitor use,703-813,Monitor inference,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Monitor inference,,correct,clean fit.
OWASP-AIX,Anomalous input handling,342-641,Anomalous AI input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Anomalous AI input handling,,correct,clean fit.
OWASP-AIX,Unwanted input series handling,576-262,Unwanted AI input series handling,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Unwanted AI input series handling,,correct,clean fit.
OWASP-AIX,Evasion input handling,761-417,Evasion attack input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Evasion attack input handling,,correct,clean fit.
OWASP-AIX,Prompt injection I/O handling,843-475,Prompt injection I/O handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Prompt injection I/O handling,,correct,clean fit.
OWASP-AIX,Sensitive output handling,204-272,Sensitive AI output handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Sensitive AI output handling,,correct,clean fit.
OWASP-AIX,DOS input validation,108-316,AI resource exhaustion input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > AI resource exhaustion input handling,,correct,clean fit.
OWASP-AIX,Input segregation,106-447,Prompt input segregation,Technical application security controls > Technical AI security controls > Secure AI inference > Prompt input segregation,,correct,clean fit.
OWASP-AIX,Obscuring confidence in output,010-108,Obscuring confidence in AI output,Technical application security controls > Technical AI security controls > Secure AI inference > Obscuring confidence in AI output,,correct,clean fit.
OWASP-AIX,Ensemble models,146-871,Ensemble AI models,Technical application security controls > Technical AI security controls > Secure AI inference > Ensemble AI models,,correct,clean fit.
OWASP-AIX,Input distortion,641-760,AI Input distortion,Technical application security controls > Technical AI security controls > Secure AI inference > AI Input distortion,,correct,clean fit.
OWASP-AIX,Limit resources,886-662,Limit inference resources,Technical application security controls > Technical AI security controls > Secure AI inference > Limit inference resources,,correct,clean fit.
OWASP-AIX,Supply chain management,881-234,AI supply chain management,Technical application security controls > Technical AI security controls > AI engineering controls > AI supply chain management,,correct,clean fit.
OWASP-AIX,Model input leak,077-235,Model input leak,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Model input leak",,correct,clean fit.
OWASP-AIX,Evasion robust model,384-015,Evasion-preventing training,Technical application security controls > Technical AI security controls > AI engineering controls > Evasion-preventing training,,correct,clean fit.
OWASP-AIX,Adversarial robust distillation,467-215,Adversarial robust distillation,Technical application security controls > Technical AI security controls > AI engineering controls > Evasion-preventing training > Adversarial robust distillation,,correct,clean fit.
OWASP-AIX,Adversarial training,408-838,Adversarial training,Technical application security controls > Technical AI security controls > AI engineering controls > Evasion-preventing training > Adversarial training,,correct,clean fit.
OWASP-AIX,Data quality control,041-188,Data quality control,Technical application security controls > Technical AI security controls > AI engineering controls > Data quality control,,correct,clean fit.
OWASP-AIX,Model alignment,860-723,GenAI model alignment,Technical application security controls > Technical AI security controls > AI engineering controls > GenAI model alignment,,correct,clean fit.
OWASP-AIX,Model watermarking,637-021,Watermarking AI models,Technical application security controls > Technical AI security controls > Watermarking AI models,,correct,clean fit.
OWASP-AIX,Data poisoning,615-663,Data poisoning of train/finetune/augmentation data,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Data poisoning of train/finetune/augmentation data,,correct,clean fit.
OWASP-AIX,Supply-chain model poisoning,701-654,Supply-chain model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Supply-chain model poisoning,,correct,clean fit.
OWASP-AIX,Disclosure of sensitive data in model output,044-202,Data disclosure in model output,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference > Data disclosure in model output,,correct,clean fit.
OWASP-AIX,Model exfiltration,141-385,Model exfiltration,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Model exfiltration,,correct,clean fit.
OWASP-AIX,Train data distortion,567-025,Train data distortion,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors > Train data distortion,,correct,clean fit.
OWASP-AIX,More train data,444-058,Benign train data increase,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors > Benign train data increase,,correct,clean fit.
OWASP-AIX,Small model,788-323,Model size reduction,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors > Model size reduction,,correct,clean fit.
OWASP-AIX,Poison robust model,854-183,Benign fine-tuning and pruning,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors > Benign fine-tuning and pruning,,correct,clean fit.
OWASP-AIX,Discrete on AI tech,818-434,Protection of technical AI information,Technical application security controls > Technical AI security controls > AI engineering controls > Protection of technical AI information,,correct,clean fit.
OWASP-AIX,Data Minimize,058-443,Data minimization,Technical application security controls > Technical AI security controls > AI impact reduction controls > AI data reduction > Data minimization,,correct,clean fit.
OWASP-AIX,Short retain,858-745,Training data retention management,Technical application security controls > Technical AI security controls > AI impact reduction controls > AI data reduction > Training data retention management,,correct,clean fit.
OWASP-AIX,Obfuscate training data,488-626,Training data obfuscation,Technical application security controls > Technical AI security controls > AI impact reduction controls > AI data reduction > Training data obfuscation,,correct,clean fit.
OWASP-AIX,Federated learning,661-440,Federated learning,Technical application security controls > Technical AI security controls > AI impact reduction controls > AI data reduction > Federated learning,,correct,clean fit.
OWASP-AIX,Least model privilege,220-442,Model action privilege minimization,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Model action privilege minimization,,correct,clean fit.
OWASP-AIX,Oversight,205-522,Automated AI oversight,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Automated AI oversight,,correct,clean fit.
OWASP-AIX,AI transparency,810-884,AI user transparency,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > AI user transparency,,correct,clean fit.
