CRE 0,CSA AI Controls Matrix|name,CSA AI Controls Matrix|id,CSA AI Controls Matrix|description,CSA AI Controls Matrix|hyperlink
004-517|Security requirements,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for securing applications.""",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
004-517|Security requirements,Primary Service and Contractual Agreement,STA-10,"Service agreements must incorporate at least the following mutually-agreed upon provisions and/or terms: • Scope, characteristics and location of business relationship and services offered • Information security requirements (including SSRM) • Change management process • Logging and monitoring capability • Incident management and communication procedures • Right to audit and third party assessment • Service termination • Interoperability and portability requirements • Data privacy",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
007-274|Patching and updating system components,Operating Systems,UEM-07,"Manage changes to endpoint operating systems, patch levels, and/or applications through the company's change management processes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
010-308|Input validation,Input Validation,AIS-08,"Validate, filter, modify or block, as necessary, input against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
010-678|Improvement management,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings, regularly review and report remediation status to relevant stakeholders.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
013-021|Roles and responsibilities,CEK Roles and Responsibilities,CEK-02,"Define and implement cryptographic, encryption and key management roles and responsibilities.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
013-021|Roles and responsibilities,Governance Responsibility Model,GRC-06,"Define and document roles and responsibilities for planning, implementing, operating, assessing, and improving governance programs.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
013-021|Roles and responsibilities,Personnel Roles and Responsibilities,HRS-09,"Document and communicate roles and responsibilities of employees, as they relate to information assets and security.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
013-021|Roles and responsibilities,Compliance User Responsibility,HRS-13,"Make employees aware of their roles and responsibilities for maintaining awareness and compliance with established policies and procedures and applicable legal, statutory, or regulatory compliance obligations.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
013-021|Roles and responsibilities,SSRM Policy and Procedures,STA-02,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the application of the Shared Security Responsibility Model (SSRM) within the organization. Review and update the policies and procedures at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
013-021|Roles and responsibilities,SSRM Guidance,STA-04,Provide SSRM Guidance to the Customer detailing information about the SSRM applicability throughout the supply chain.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
013-021|Roles and responsibilities,SSRM Control Ownership,STA-05,Delineate the shared ownership and applicability of all CSA AICM controls according to the SSRM.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
013-021|Roles and responsibilities,SSRM Control Implementation,STA-07,"Implement, operate, and audit or assess the portions of the SSRM which the organization is responsible for.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
041-188|Data quality control,Data Differentiation and Relevance,DSP-24,Ensure training-data differentiation and relevance to the intended use of the AI Model.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
058-083|Monitoring,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment with business objectives, security requirements, and compliance obligations.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
058-083|Monitoring,Encryption Monitoring and Reporting,LOG-10,"Establish and maintain a monitoring and internal reporting capability over the operations of cryptographic, encryption and key management policies, processes, procedures, and controls.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
065-782|Ensure session timeout (soft/hard),Automatic Lock Screen,UEM-06,Configure all relevant interactive-use endpoints to require an automatic lock screen.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
068-102|Describe high-level system architecture and perform threat modeling on it every critical change and regularly,Network Architecture Documentation,I&S-08,Identify and document high-risk environments.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
068-102|Describe high-level system architecture and perform threat modeling on it every critical change and regularly,Threat Analysis and Modelling,TVM-12,"Define implement and evaluate threat analysis process and procedures to identify, assess and review the threat landscape for Cloud and AI systems. Build threat models according to industry best practices to inform the risk mitigation strategy.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
074-873|Data classification and handling,Security and Privacy Policy and Procedures,DSP-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the classification, protection, preparation and handling of data throughout its lifecycle, and according to all applicable laws and regulations,standards, and risk level. Review and update the policies and procedures at least annually.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
074-873|Data classification and handling,Data Ownership and Stewardship,DSP-06,Document ownership and stewardship of all relevant documented personal and sensitive data. Perform review at least annually.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
088-316|Augmentation data integrity controls,Data Integrity Check,DSP-23,"Regularly validate the consistency and conformity of training, fine-tuning or augmentation data. Implement dataset versioning to ensure traceability and enforce restrictions to prevent unauthorized changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
088-377|Automated dynamic security testing,Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while meeting organizational delivery goals. Automate when applicable and possible.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
106-447|Prompt input segregation,Prompt Differentation,AIS-15,"Implement mechanisms enabling the model to clearly distinguish user-provided input instructions from data and system instructions (e.g., system prompts).",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
112-648|Change management,Change Management Policy and Procedures,CCC-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for managing the risks associated with applying changes to assets owned, controlled or used by the organization. Review and update the policies and procedures at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
112-648|Change management,Change Management Technology,CCC-03,"Implement a change management procedure to manage the risks associated with applying changes to assets owned, controlled or used by the organization.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
112-648|Change management,Change Authorization,CCC-04,"Implement and enforce a procedure to authorize addition, removal, update, and management of assets, owned, controlled or used by the organization.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
112-648|Change management,Change Agreements,CCC-05,Include provisions limiting changes directly impacting customer owned environments/tenants to explicitly authorized requests within service level agreements.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
