CRE 0,MITRE ATLAS|name,MITRE ATLAS|id,MITRE ATLAS|description,MITRE ATLAS|hyperlink
010-108|Obscuring confidence in AI output,Passive AI Output Obfuscation,AML.M0002,Decreasing the fidelity of model outputs provided to the end user can reduce an adversary's ability to extract information about the model and optimize attacks for the model.,https://atlas.mitre.org/techniques/AML.M0002
012-625|Indirect prompt injection,Indirect,AML.T0051.001,An adversary may inject prompts indirectly via separate data channel ingested by the LLM such as include text or multimedia pulled from databases or websites. These malicious prompts may be hidden or obfuscated from the user. This type of injection may be used by the adversary to gain a foothold in the system or to target an unwitting user of the system.,https://atlas.mitre.org/techniques/AML.T0051.001
020-540|Direct runtime model poisoning,AI Agent Context Poisoning,AML.T0080,Adversaries may attempt to manipulate the context used by an AI agent's large language model (LLM) to influence the responses it generates or actions it takes. This allows an adversary to persistently change the behavior of the target agent and further their goals. Context poisoning can be accomplished by prompting the an LLM to add instructions or preferences to memory (See [Memory](/techniques/AML.T0080.000)) or by simply prompting an LLM that uses prior messages in a thread as part of its context (See [Thread](/techniques/AML.T0080.001)).,https://atlas.mitre.org/techniques/AML.T0080
020-540|Direct runtime model poisoning,Thread,AML.T0080.001,"Adversaries may introduce malicious instructions into a chat thread of a large language model (LLM) to cause behavior changes which persist for the remainder of the thread. A chat thread may continue for an extended period over multiple sessions. The malicious instructions may be introduced via Direct or Indirect Prompt Injection. Direct Injection may occur in cases where the adversary has acquired a user's LLM API keys and can inject queries directly into any thread. As the token limits for LLMs rise, AI systems can make use of larger context windows which allow malicious instructions to persist longer in a thread. Thread Poisoning may affect multiple users if the LLM is being used in a service with shared threads. For example, if an agent is active in a Slack channel with multiple participants, a single malicious message from one user can influence the agent's behavior in future interactions with others.",https://atlas.mitre.org/techniques/AML.T0080.001
034-540|Model inversion / Membership inference,Infer Training Data Membership,AML.T0024.000,"Adversaries may infer the membership of a data sample or global characteristics of the data in its training set, which raises privacy concerns. Some strategies make use of a shadow model that could be obtained via [Train Proxy via Replication](/techniques/AML.T0005.001), others use statistics of model prediction scores. This can cause the victim model to leak private information, such as PII of those in the training set or other forms of protected IP.",https://atlas.mitre.org/techniques/AML.T0024.000
034-540|Model inversion / Membership inference,Invert AI Model,AML.T0024.001,"AI models' training data could be reconstructed by exploiting the confidence scores that are available via an inference API. By querying the inference API strategically, adversaries can back out potentially private information embedded within the training data. This could lead to privacy violations if the attacker can reconstruct the data of sensitive features used in the algorithm.",https://atlas.mitre.org/techniques/AML.T0024.001
041-188|Data quality control,Sanitize Training Data,AML.M0007,Detect and remove or remediate poisoned training data. Training data should be sanitized prior to model training and recurrently for an active learning model. Implement a filter to limit ingested training data. Establish a content policy that would remove unwanted content such as certain explicit or offensive language from being used.,https://atlas.mitre.org/techniques/AML.M0007
044-202|Data disclosure in model output,LLM Data Leakage,AML.T0057,"Adversaries may craft prompts that induce the LLM to leak sensitive information. This can include private user data or proprietary information. The leaked information may come from proprietary training data, data sources the LLM is connected to, or information from other users of the LLM.",https://atlas.mitre.org/techniques/AML.T0057
058-527|Secure name/address resolution service,Domains,AML.T0008.002,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free. Adversaries may use acquired domains for a variety of purposes (see [ATT&CK](https://attack.mitre.org/techniques/T1583/001/)). Large AI datasets are often distributed as a list of URLs to individual datapoints. Adversaries may acquire expired domains that are included in these datasets and replace individual datapoints with poisoned examples ([Publish Poisoned Datasets](/techniques/AML.T0019)).",https://atlas.mitre.org/techniques/AML.T0008.002
073-507|AI model behaviour integrity threats through inference,LLM Jailbreak,AML.T0054,"An adversary may target the inputs or the architecture of an LLM, placing it in a state where it will freely respond to user input, bypassing any controls, restrictions, or guardrails placed on the LLM. Once successfully jailbroken, the LLM can be used in unintended ways by the adversary. Jailbreaks are classified as either white-box or black-box depending on the level of model access they require. In white-box jailbreaks, the attacker directly exploits the model. Gradient and logit-based attacks use internal signals to select prompts that make harmful answers more likely while fine-tuning-based methods weaken safety through retraining ([Jailbreak Attacks and Defenses: A Survey]; [JailbreakZoo]). Additionally, many large language models encode refusal in a single linear signal in their internal layers; removing or suppressing this signal via an activation edit largely disables refusal while leaving normal skills mostly intact ([Refusal Direction]). Black-box jailbreaks, on the other hand, do not require direct model access, relying instead on clever prompting and context tricks. Examples include wrapping a harmful question inside a story, role-play, or code snippet so the model ""fills in"" the dangerous part as part of the scenario ([Jailbreak Attacks and Defenses: A Survey]) or hiding intent through ciphers, rare languages, and other encodings so the text looks harmless to filters but remains understandable to the model ([JailbreakZoo]; [Jailbreak Attacks and Defenses: A Survey]). Black-box jailbreaks can also take a multi-turn form where attackers engage in dialogue that begins harmless but escalates towards a forbidden goal, changing the conversation history through references and hints while never explicitly stating the malicious request ([Cresendo attacks], [Echo Chamber attack]). Jailbreak generation can be automated with fine-tuned models ([MASTERKEY]), multi-agent systems ([Jailbreak Attacks and Defenses: A Survey]), or evolutionary algorithms",https://atlas.mitre.org/techniques/AML.T0054
