hub_id,hub_name,hierarchy_path,branch
010-108,Obscuring confidence in AI output,Technical application security controls > Technical AI security controls > Secure AI inference > Obscuring confidence in AI output,Technical application security controls
011-087,Testing against membership inference,Development processes for security > Verification > AI security assurance & validation > Testing against membership inference,Development processes for security
012-625,Indirect prompt injection,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Indirect prompt injection,Cross-cutting concerns
020-540,Direct runtime model poisoning,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model poisoning > Direct runtime model poisoning,Cross-cutting concerns
034-540,Model inversion / Membership inference,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference > Model inversion / Membership inference,Cross-cutting concerns
041-188,Data quality control,Technical application security controls > Technical AI security controls > AI engineering controls > Data quality control,Technical application security controls
043-703,Testing against sensitive data extraction by inference,Development processes for security > Verification > AI security assurance & validation > Testing against sensitive data extraction by inference,Development processes for security
044-202,Data disclosure in model output,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Training data confidentiality threats through inference > Data disclosure in model output,Cross-cutting concerns
058-443,Data minimization,Technical application security controls > Technical AI security controls > AI impact reduction controls > AI data reduction > Data minimization,Technical application security controls
061-753,AI model behaviour integrity threats,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats,Cross-cutting concerns
073-507,AI model behaviour integrity threats through inference,Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference,Cross-cutting concerns
077-235,Model input leak,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Model input leak",Cross-cutting concerns
077-772,Direct training or test data leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats > Direct training or test data leak,Cross-cutting concerns
088-316,Augmentation data integrity controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Augmentation data integrity controls,Technical application security controls
106-447,Prompt input segregation,Technical application security controls > Technical AI security controls > Secure AI inference > Prompt input segregation,Technical application security controls
108-316,AI resource exhaustion input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > AI resource exhaustion input handling,Technical application security controls
130-171,Runtime model io integrity controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Runtime model io integrity controls,Technical application security controls
141-385,Model exfiltration,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Model exfiltration,Cross-cutting concerns
146-871,Ensemble AI models,Technical application security controls > Technical AI security controls > Secure AI inference > Ensemble AI models,Technical application security controls
173-554,Augmentation data leak,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Augmentation data leak",Cross-cutting concerns
182-732,Direct runtime model leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Direct runtime model leak,Cross-cutting concerns
187-083,Rate limiting against AI input attacks,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Rate limiting against AI input attacks,Technical application security controls
202-604,Human AI oversight,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Human AI oversight,Technical application security controls
204-272,Sensitive AI output handling,Technical application security controls > Technical AI security controls > Secure AI inference > Specific input attack controls at inference > Sensitive AI output handling,Technical application security controls
205-522,Automated AI oversight,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Automated AI oversight,Technical application security controls
217-163,Augmentation data manipulation,"Cross-cutting concerns > Protection against AI-Specfic Threats > Conventional threats to AI input, output and augmentation data > Augmentation data manipulation",Cross-cutting concerns
220-442,Model action privilege minimization,Technical application security controls > Technical AI security controls > AI impact reduction controls > Impact limitation of unwanted model behaviour > Model action privilege minimization,Technical application security controls
220-870,Training data confidentiality threats,Cross-cutting concerns > Protection against AI-Specfic Threats > Training data confidentiality threats,Cross-cutting concerns
230-318,AI resource exhaustion attack,Cross-cutting concerns > Protection against AI-Specfic Threats > AI resource exhaustion attack,Cross-cutting concerns
234-123,Weakening training set backdoors,Technical application security controls > Technical AI security controls > AI engineering controls > Weakening training set backdoors,Technical application security controls
267-786,Model confidentiality threats,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats,Cross-cutting concerns
276-748,Runtime model integrity controls,Technical application security controls > Technical AI security controls > Conventional AI security controls on AI assets > Runtime model integrity controls,Technical application security controls
342-641,Anomalous AI input handling,Technical application security controls > Technical AI security controls > Secure AI inference > Generic input attack controls at inference > Anomalous AI input handling,Technical application security controls
342-781,Direct development-time model leak,Cross-cutting concerns > Protection against AI-Specfic Threats > Model confidentiality threats > Direct development-time model leak,Cross-cutting concerns
364-516,AI security assurance & validation,Development processes for security > Verification > AI security assurance & validation,Development processes for security
370-877,Evasion (e.g. adversarial examples),Cross-cutting concerns > Protection against AI-Specfic Threats > AI model behaviour integrity threats > AI model behaviour integrity threats through inference > Evasion (e.g. adversarial examples),Cross-cutting concerns
384-015,Evasion-preventing training,Technical application security controls > Technical AI security controls > AI engineering controls > Evasion-preventing training,Technical application security controls
